ANO FAB;TIPO VEICULO;QUANTIDADE VEICULO
2022;PADRON S/AR;2
2019;CONVENCIONAL;1
2019;PADRON C/AR;2
2018;PADRON C/AR;15
2017;PADRON C/AR;26
2017;PADRON S/AR;1
2016;CONVENCIONAL;2
2016;PADRON C/AR;5
2015;CONVENCIONAL;2
2015;CONVENCIONAL C/ AR;3
2015;MICRO;1
2015;PADRON C/AR;27
2015;PADRON S/AR;44
2014;CONVENCIONAL;9
2014;PADRON C/AR;14
2014;PADRON S/AR;13
2013;CONVENCIONAL;51
2013;PADRON C/AR;10
2013;PADRON S/AR;9
2012;CONVENCIONAL;19
2012;PADRÃO;1
2012;PADRON C/AR;2
2012;PADRON S/AR;6
2011;CONVENCIONAL;29
2011;PADRON S/AR;7
2010;CONVENCIONAL;26
2010;OPCIONAL;1
2010;PADRON S/AR;1
2009;CONVENCIONAL;3
2009;PADRON S/AR;1
2007;CONVENCIONAL;3
2005;CONVENCIONAL;1
